X,Y,Z
2.82571,-2.37866,1.3523
2.83041,-2.41244,1.36139
2.82269,-2.43591,1.36476
2.8559,-2.49531,1.38768
2.82925,-2.5028,1.38228
3.27678,-2.93465,1.60466
3.20431,-2.90537,1.57838
3.06909,-2.85219,1.52986
3.02136,-2.84258,1.51504
2.86817,-2.73186,1.44799
2.87237,-2.76966,1.45843
2.67002,-2.60639,1.36577
2.64728,-2.61611,1.36241
2.6405,-2.64162,1.36712
3.30899,-3.35113,1.71585
3.25681,-3.33902,1.69967
3.24867,-3.37182,1.70608
3.2065,-3.36919,1.69496
3.07008,-3.30618,1.64509
3.01982,-3.29234,1.62925
2.99767,-3.30872,1.62824
2.96224,-3.31021,1.62016
2.91132,-3.29376,1.60365
2.68112,-3.07114,1.48943
2.63947,-3.06115,1.47696
2.68536,-3.15327,1.51268
2.92113,-3.47301,1.65452
2.90638,-3.49884,1.65823
2.75407,-3.3572,1.58444
2.73934,-3.38135,1.58781
2.71502,-3.39368,1.58579
2.69706,-3.41397,1.58748
2.94828,-3.77934,1.74583
3.06006,-3.97264,1.82501
3.08864,-4.06103,1.85635
3.07271,-4.09195,1.86174
3.05428,-4.1198,1.86578
3.02004,-4.12631,1.86039
2.96489,-4.10356,1.8422
2.96481,-4.15693,1.85769
2.92081,-4.14887,1.84624
2.90175,-4.17599,1.85028
2.85264,-4.15955,1.83546
1.59044,-2.35017,1.04603
1.57076,-2.35206,1.04266
1.55526,-2.36008,1.04198
2.07441,-3.3223,1.43215
2.08757,-3.38947,1.45506
1.80321,-2.96852,1.27346
1.77771,-2.96741,1.2684
1.74031,-2.94584,1.25492
1.73452,-2.97761,1.26368
1.79032,-3.11719,1.31692
1.86164,-3.28787,1.38262
1.63903,-2.93669,1.23403
1.63006,-2.96319,1.24077
1.47181,-2.71491,1.13565
1.84562,-3.45464,1.43215
1.34269,-2.58942,1.07433
1.35848,-2.65966,1.09926
1.37811,-2.73943,1.1279
1.37716,-2.77989,1.1407
1.42572,-2.92283,1.19428
1.17172,-2.44013,0.999194
1.4402,-3.19783,1.28559
1.61338,-3.70292,1.47595
1.2576,-2.93561,1.17339
0.94091,-2.23439,0.898115
1.51001,-3.64761,1.44327
1.50286,-3.69431,1.45776
1.40292,-3.51025,1.3833
1.35658,-3.45569,1.35904
0.894286,-2.32018,0.920352
1.04171,-2.75268,1.08376
